age,breakdown_count,repair_cost,downtime_hours,risk_level
4,15,20882,73,High
1,4,11709,30,Medium
3,15,6968,61,High
19,8,14371,65,High
8,15,20903,46,High
19,15,19552,3,High
4,4,28111,49,High
13,11,6815,73,High
14,6,3093,76,High
12,13,14981,66,High
3,4,22318,79,High
18,15,12727,73,High
13,14,16542,48,High
10,2,22349,56,High
13,5,11939,3,Low
11,7,20493,55,High
7,14,1715,62,High
10,13,26509,9,High
13,5,11568,42,Medium
3,13,18715,5,High
9,0,18207,56,High
3,6,16878,13,Medium
9,9,16089,78,High
19,13,25288,43,High
3,13,7235,4,High
19,5,4080,74,High
18,14,6611,9,High
7,6,1975,57,High
1,0,13722,25,Low
5,12,5809,16,High
9,9,26352,48,High
11,11,8537,2,High
17,9,4955,61,High
5,15,10936,24,High
1,8,4243,32,Medium
19,3,22926,20,High
15,14,22685,64,High
4,11,26053,71,High
6,7,17039,73,High
13,14,937,30,High
9,4,18900,64,High
3,4,19544,20,Low
19,0,8097,5,Low
9,7,11589,32,Medium
10,10,12813,6,Medium
6,7,5740,61,High
13,13,5400,77,High
13,5,7713,52,High
20,8,20729,68,High
8,13,23074,28,High
6,15,24295,68,High
7,2,29984,47,High
17,8,23960,40,High
1,14,29982,10,High
6,15,7942,56,High
5,3,5570,11,Low
6,15,738,53,High
2,7,7615,60,High
8,11,27790,22,High
20,14,915,78,High
2,6,15177,14,Medium
17,10,4567,48,Medium
17,14,23493,48,High
1,7,7812,47,Medium
11,3,5500,52,High
14,1,18939,16,Low
19,3,26714,80,High
11,3,2592,35,Medium
2,14,24314,7,High
5,1,24128,14,High
3,1,894,57,High
16,8,21406,47,High
19,4,12833,76,High
19,11,15978,37,High
12,13,19639,46,High
12,11,29071,75,High
7,11,27408,64,High
17,7,22233,43,High
16,0,13629,72,High
15,15,13961,67,High
8,7,21563,77,High
12,11,25751,79,High
8,8,11650,31,Medium
10,8,26602,10,High
2,4,20690,67,High
6,15,23151,47,High
3,3,8134,44,Medium
11,3,27966,51,High
5,5,18274,72,High
8,14,25038,66,High
15,10,3187,20,Medium
13,13,29919,45,High
12,15,20768,67,High
3,11,3271,48,High
16,0,18435,6,Low
11,3,13490,70,High
13,1,26252,48,High
17,12,2897,42,High
6,9,23568,79,High
14,6,21399,16,High
16,11,29400,33,High
2,13,12467,20,High
1,13,12165,49,High
1,0,7363,2,Low
13,13,11967,38,High
12,5,13769,78,High
10,12,2618,62,High
2,9,14102,60,High
2,6,1610,72,High
18,10,22941,71,High
3,5,28779,13,High
17,12,16674,78,High
13,2,22919,27,High
14,15,13635,16,High
6,15,19707,72,High
17,11,13522,72,High
12,0,25044,68,High
15,7,28853,70,High
4,6,12421,24,Medium
9,10,582,7,Medium
20,14,16990,44,High
7,0,5681,39,Medium
17,3,28684,26,High
20,3,18286,2,Low
19,1,5872,20,Low
16,9,29306,71,High
7,12,15277,17,High
18,11,26127,71,High
11,7,994,21,Medium
14,9,27075,54,High
4,15,23418,54,High
18,12,2088,55,High
5,5,20730,34,High
19,1,12654,27,Medium
11,10,18579,46,Medium
9,15,10158,36,High
14,3,16167,70,High
1,10,21367,80,High
3,7,12364,77,High
15,13,29923,36,High
3,4,8798,48,Medium
6,1,12194,9,Low
11,15,29135,13,High
14,10,8102,55,High
9,3,17674,4,Low
15,12,1779,28,High
3,10,17798,48,Medium
7,7,11181,18,Medium
9,13,13607,24,High
2,7,29602,21,High
17,15,11286,78,High
19,13,20830,74,High
3,7,1957,34,Medium
3,1,25489,59,High
17,8,3940,21,Medium
5,2,24700,59,High
10,13,1960,37,High
6,0,25499,30,High
16,15,9188,6,High
11,11,10911,35,High
15,0,20103,62,High
18,14,8403,4,High
2,15,10768,13,High
13,3,15949,75,High
13,14,22640,79,High
8,7,1367,56,High
1,10,9070,42,Medium
7,15,28942,21,High
17,8,3317,38,Medium
18,8,26834,28,High
18,6,11572,38,Medium
1,3,8019,76,High
17,8,8067,59,High
7,7,13047,12,Medium
4,12,3490,24,High
10,5,27693,50,High
4,14,16464,66,High
19,9,22604,62,High
20,15,11535,22,High
12,2,723,25,Low
5,12,20101,59,High
4,2,15663,21,Low
6,13,15539,17,High
15,9,9203,76,High
12,2,25729,45,High
12,10,29648,40,High
13,4,22532,44,High
15,6,11232,27,Medium
1,4,21147,33,High
19,6,8716,64,High
9,5,25813,79,High
17,8,17826,79,High
9,15,4756,7,High
2,9,15430,64,High
18,11,4400,29,High
15,6,7527,17,Medium
1,12,9452,78,High
17,15,24285,41,High
15,0,926,9,Low
9,15,26411,80,High
16,5,12637,23,Low
18,11,26034,46,High
18,4,15379,56,High
18,3,15606,34,Medium
4,5,3469,44,Medium
4,1,14280,76,High
15,5,16501,72,High
5,1,8667,15,Low
9,14,10916,51,High
20,6,3172,60,High
17,5,26539,67,High
18,11,17549,4,High
16,5,23203,11,High
20,1,7008,49,Medium
11,3,28390,58,High
2,6,22763,50,High
9,9,25025,64,High
6,3,13859,21,Low
13,7,9008,34,Medium
16,3,22746,60,High
11,13,24965,19,High
2,6,11553,1,Medium
14,11,8791,42,High
15,13,14081,58,High
2,0,20385,52,High
13,3,12896,64,High
12,6,20169,55,High
3,15,10456,34,High
9,12,29732,43,High
5,13,17887,69,High
19,11,26973,78,High
20,4,11603,14,Low
18,14,12550,26,High
4,7,6357,79,High
4,7,17764,53,High
16,9,24716,13,High
19,11,22881,29,High
7,0,24829,80,High
7,5,29148,11,High
3,5,4123,27,Medium
11,0,18519,71,High
14,15,6089,13,High
10,10,25065,30,High
7,3,26902,25,High
2,12,20959,33,High
16,14,664,54,High
13,10,29663,22,High
16,3,3523,28,Medium
15,7,20688,63,High
4,2,26912,80,High
9,13,26226,32,High
20,2,7991,33,Medium
1,1,23805,8,High
2,11,28769,54,High
1,9,22905,60,High
7,2,19545,24,Low
17,6,18781,49,Medium
17,13,1559,60,High
15,3,27702,63,High
17,11,14030,49,High
15,7,17205,56,High
19,4,22042,16,High
3,13,27507,75,High
16,7,1032,29,Medium
17,10,4267,35,Medium
4,0,7515,26,Medium
7,13,19168,11,High
6,8,8226,73,High
12,0,28845,11,High
4,2,3884,14,Low
9,10,18533,68,High
13,1,8110,67,High
5,13,15002,3,High
16,4,23531,70,High
20,5,23155,76,High
8,10,8102,58,High
12,14,27497,19,High
15,10,20606,39,High
2,1,554,59,High
18,1,578,73,High
6,0,29437,35,High
7,0,15666,65,High
19,6,18480,25,Medium
10,5,27390,21,High
5,7,3006,47,Medium
1,13,12847,41,High
6,8,18159,49,Medium
6,15,16787,35,High
6,0,2673,35,Medium
8,9,27773,38,High
2,15,24284,49,High
7,5,7485,11,Low
2,2,10102,53,High
20,1,7344,40,Medium
10,3,23916,44,High
17,7,27823,68,High
4,6,10809,52,High
19,7,9793,28,Medium
8,5,5370,51,High
2,10,8167,32,Medium
7,6,7182,44,Medium
3,9,17200,80,High
7,15,3794,25,High
2,1,26039,43,High
4,4,25051,25,High
3,1,3998,21,Low
4,9,25706,38,High
8,12,9709,37,High
18,7,12874,2,Medium
16,7,15629,69,High
18,4,7256,68,High
20,8,1697,38,Medium
18,10,1566,43,Medium
9,4,19881,75,High
15,15,4143,70,High
9,8,10901,75,High
1,0,13006,29,Medium
10,8,4655,3,Medium
10,9,23462,16,High
13,14,16421,20,High
13,15,1335,78,High
4,4,26335,64,High
17,11,2115,79,High
12,1,20303,44,High
20,3,22341,70,High
17,8,14177,60,High
13,8,3860,67,High
11,9,15160,35,Medium
17,15,13032,54,High
17,0,3213,54,High
10,1,6249,65,High
1,6,19632,4,Medium
9,8,1221,16,Medium
15,13,24796,4,High
20,8,22009,1,High
15,4,21182,23,High
9,4,4701,51,High
12,7,20996,13,High
16,9,3732,19,Medium
15,11,21486,58,High
1,3,7374,40,Medium
12,4,9147,7,Low
1,14,28269,21,High
7,1,21116,16,High
5,11,4729,43,High
9,12,23581,62,High
11,13,12953,24,High
12,10,4492,44,Medium
2,3,11417,72,High
12,5,29032,54,High
18,7,16185,61,High
11,15,26733,13,High
15,14,18965,13,High
16,7,19517,25,Medium
12,15,16759,18,High
2,15,14370,40,High
6,12,10166,29,High
10,6,16264,8,Medium
9,11,17499,55,High
20,9,23411,60,High
4,2,20483,27,High
14,14,26349,67,High
4,1,4498,17,Low
6,14,2006,57,High
6,6,24195,11,High
4,9,29601,21,High
13,14,18833,18,High
13,3,23487,13,High
3,1,25192,53,High
20,6,6505,34,Medium
18,14,8869,26,High
4,7,13311,75,High
3,6,29402,44,High
16,2,12146,33,Medium
2,3,5432,14,Low
5,11,9853,44,High
1,7,18152,57,High
17,9,25506,55,High
10,7,28494,40,High
2,7,20364,37,High
14,0,613,78,High
20,11,3151,47,High
3,6,17974,8,Medium
5,4,18774,57,High
11,2,20572,48,High
18,8,2472,14,Medium
13,4,22948,70,High
6,4,6639,12,Low
3,4,28891,43,High
14,0,18116,16,Low
10,6,26967,41,High
13,10,1818,27,Medium
14,12,23605,29,High
9,7,26666,30,High
5,8,9581,27,Medium
19,7,17055,47,Medium
5,10,25314,51,High
6,11,4144,54,High
19,2,29513,15,High
15,15,13025,76,High
15,5,4666,72,High
3,9,13658,18,Medium
9,13,26844,18,High
8,4,21850,24,High
1,0,8077,15,Low
18,10,4329,38,Medium
16,1,4945,68,High
20,15,20945,65,High
2,11,1394,24,High
3,10,25651,42,High
6,0,25812,9,High
9,9,16146,73,High
17,3,22373,4,High
19,1,7107,60,High
2,12,3405,29,High
4,4,15368,13,Low
20,9,24071,28,High
6,5,10489,73,High
18,11,2428,36,High
10,4,10976,60,High
17,12,23516,6,High
11,5,16914,36,Medium
12,0,10088,36,Medium
14,13,22147,3,High
1,8,23169,3,High
1,15,23553,49,High
12,3,8462,28,Medium
3,6,23783,80,High
13,14,7980,48,High
15,3,3531,28,Medium
16,14,16850,18,High
13,15,5137,3,High
4,3,22927,9,High
4,5,12490,72,High
15,2,25290,57,High
8,0,14047,50,Medium
2,5,13637,28,Medium
16,7,14218,14,Medium
3,12,28483,40,High
13,14,29849,25,High
15,4,6530,55,High
15,7,8772,36,Medium
12,9,27467,26,High
5,1,10338,22,Low
18,5,29795,63,High
15,13,27288,36,High
15,1,13799,15,Low
12,2,3654,34,Medium
6,11,28709,39,High
15,11,9475,20,High
20,5,18904,26,Medium
4,2,12665,55,High
3,10,9323,37,Medium
7,7,6533,61,High
20,1,3692,63,High
10,14,22766,65,High
4,8,27355,8,High
2,7,18734,10,Medium
2,1,6629,80,High
20,14,27077,67,High
1,4,16614,50,Medium
18,9,23093,25,High
10,9,29731,5,High
15,2,5553,66,High
12,3,22262,20,High
17,12,23504,18,High
2,0,18558,47,Medium
9,12,28977,68,High
20,2,15303,26,Medium
7,14,27143,5,High
9,10,5970,60,High
11,12,19912,23,High
15,9,25726,3,High
18,6,15803,22,Medium
5,2,22899,12,High
8,4,25382,74,High
12,6,2255,74,High
8,2,2132,6,Low
15,7,20792,25,High
16,2,1327,51,High
14,9,24578,10,High
9,13,1435,37,High
9,15,8144,77,High
15,1,28256,64,High
8,10,26438,66,High
3,15,14576,44,High
12,2,945,3,Low
17,5,18290,30,Medium
15,1,29250,31,High
14,11,26514,44,High
5,1,19611,60,High
7,6,22956,57,High
14,7,12225,62,High
16,13,11245,59,High
8,2,22726,48,High
18,7,2542,18,Medium
20,13,16465,20,High
17,14,7155,41,High
9,3,19104,40,Medium
13,8,12110,22,Medium
8,13,2054,11,High
17,12,9258,18,High
2,12,28551,78,High
18,0,7137,61,High
10,15,22201,49,High
19,10,3821,1,Medium
1,12,2245,54,High
17,10,18056,59,High
15,2,27028,76,High
10,13,20328,35,High
3,10,16330,22,Medium
6,9,7823,1,Medium
20,3,16579,29,Medium
3,4,23400,57,High
7,2,14549,31,Medium
11,4,6789,77,High
19,13,19159,42,High
2,12,20569,2,High
10,2,26469,72,High
11,8,28150,10,High
12,5,7827,46,Medium
19,7,17121,64,High
12,2,23543,18,High
19,15,14662,73,High
1,14,12301,29,High
17,5,2712,8,Low
11,4,28111,71,High
1,9,27148,19,High
13,10,14312,52,High
13,8,10390,11,Medium
18,1,11941,80,High
20,11,20232,49,High
17,0,8771,68,High
8,6,4953,23,Medium
9,10,12731,44,Medium
3,3,8043,4,Low
16,5,1475,35,Medium
2,6,23248,52,High
13,8,4215,4,Medium
15,13,23922,17,High
15,13,23861,31,High
7,11,24043,69,High
18,15,27166,47,High
14,8,19873,47,Medium
18,7,22729,76,High
12,2,23254,39,High
7,10,24324,6,High
2,9,23830,60,High
20,12,5355,46,High
18,11,15025,51,High
11,2,4930,34,Medium
5,5,12204,76,High
20,15,13606,6,High
18,3,658,32,Medium
7,8,29078,6,High
8,0,6370,48,Medium
10,12,8688,48,High
8,10,21952,18,High
14,10,24106,10,High
2,13,9887,80,High
4,8,12432,40,Medium
8,11,25012,37,High
17,13,6734,56,High
11,14,10306,13,High
5,2,3928,50,Medium
1,11,8613,71,High
10,2,11203,14,Low
11,4,3375,56,High
4,11,15295,24,High
11,3,16995,3,Low
18,0,12767,42,Medium
17,4,23964,1,High
1,10,27530,75,High
17,4,14099,43,Medium
18,1,29988,11,High
12,1,1364,49,Medium
5,14,11047,70,High
1,6,20159,64,High
18,12,13050,65,High
10,4,13925,44,Medium
5,1,3928,58,High
18,10,945,17,Medium
4,7,12408,71,High
9,13,19930,74,High
9,9,20327,62,High
4,15,23742,26,High
19,10,27710,42,High
13,0,10140,65,High
6,1,14393,63,High
18,2,28483,45,High
13,15,4860,4,High
6,13,24205,60,High
5,10,4960,63,High
10,15,19799,32,High
20,2,15567,55,High
15,7,13755,30,Medium
7,4,9353,80,High
3,12,9099,16,High
2,5,14528,61,High
10,13,2349,80,High
15,1,24926,25,High
14,10,4036,16,Medium
3,9,27845,7,High
10,7,7629,33,Medium
10,4,19367,23,Low
18,12,7774,68,High
17,6,19583,36,Medium
3,6,24899,24,High
13,2,2819,36,Medium
6,6,2385,45,Medium
20,4,16804,73,High
9,14,10881,79,High
11,4,24869,12,High
14,10,12162,8,Medium
9,1,19297,59,High
12,15,14077,7,High
7,8,14325,32,Medium
3,2,3430,69,High
1,11,10258,39,High
5,4,9483,32,Medium
3,5,17882,57,High
2,9,1459,20,Medium
19,13,8120,50,High
19,13,23558,49,High
16,4,24221,46,High
17,10,3277,76,High
18,5,3273,67,High
6,3,4797,74,High
15,2,16349,28,Medium
14,10,11122,30,Medium
14,11,1691,47,High
13,3,1803,28,Medium
14,9,5882,79,High
15,4,15943,59,High
17,13,880,53,High
13,15,7153,67,High
4,5,6131,20,Low
7,5,25763,24,High
4,15,17867,27,High
2,1,14405,45,Medium
5,5,4118,73,High
3,2,19400,11,Low
4,4,14573,46,Medium
11,2,20001,35,High
7,7,10520,52,High
9,14,12406,60,High
17,8,18721,77,High
7,1,3832,65,High
20,3,8361,48,Medium
6,11,27819,5,High
17,13,16898,57,High
2,0,10376,17,Low
2,13,26496,50,High
15,3,11523,24,Low
2,14,18812,48,High
13,9,19628,61,High
19,15,6391,66,High
3,7,28183,34,High
15,9,8299,38,Medium
18,2,24555,30,High
11,10,7676,19,Medium
7,4,14403,25,Low
14,1,15759,24,Low
3,12,3607,61,High
7,10,12648,62,High
18,11,12084,54,High
3,11,22254,50,High
7,1,728,72,High
17,1,5083,72,High
1,13,17772,56,High
3,11,4728,65,High
6,2,5939,19,Low
7,13,24194,79,High
19,12,20795,49,High
20,15,1310,32,High
3,5,22658,54,High
5,15,10204,74,High
10,11,3377,69,High
3,2,22591,48,High
9,15,7587,63,High
7,8,23797,71,High
18,12,23315,78,High
20,0,6308,71,High
17,8,17183,24,Medium
14,12,7650,56,High
11,7,28859,3,High
13,3,27808,58,High
13,4,6297,15,Low
10,9,26356,24,High
5,8,21527,60,High
8,0,5555,8,Low
4,15,27558,17,High
10,4,24433,36,High
12,1,12598,65,High
12,12,3918,68,High
2,9,15498,64,High
4,11,20319,48,High
9,1,19722,22,Low
6,9,19886,15,Medium
12,14,18986,71,High
12,4,10869,62,High
14,5,25627,10,High
6,1,2489,79,High
6,8,21898,23,High
10,11,28522,2,High
1,2,21939,57,High
8,14,20477,39,High
9,3,13456,19,Low
20,8,14660,9,Medium
8,14,24287,52,High
6,1,16019,2,Low
16,5,11996,54,High
2,2,19581,8,Low
9,7,4905,29,Medium
9,1,17798,40,Medium
8,7,17252,76,High
20,9,1214,38,Medium
15,9,25412,32,High
8,6,9370,13,Medium
1,9,20998,44,High
14,11,17044,66,High
15,7,7261,40,Medium
11,5,15937,51,High
17,10,9258,58,High
17,1,4636,45,Medium
19,12,20438,31,High
20,11,7390,74,High
5,11,10929,8,High
1,5,7215,28,Medium
19,0,25197,30,High
20,6,4789,9,Medium
20,1,20321,80,High
16,8,7933,37,Medium
16,12,27058,69,High
18,13,4409,6,High
5,5,25007,56,High
5,6,20958,43,High
4,4,29797,5,High
2,7,12031,76,High
20,9,23371,52,High
17,11,3177,39,High
19,3,16177,35,Medium
15,5,16236,28,Medium
7,6,18236,72,High
10,4,21480,22,High
11,11,9387,70,High
9,13,19398,49,High
10,0,22666,13,High
6,9,5221,68,High
11,5,1034,67,High
7,2,3560,45,Medium
4,12,17768,18,High
6,9,4562,23,Medium
4,12,29283,74,High
3,8,12886,6,Medium
15,10,12156,44,Medium
12,10,1298,54,High
13,15,11936,45,High
6,6,19602,38,Medium
3,5,9130,37,Medium
1,7,8384,44,Medium
19,15,15802,51,High
9,10,23738,6,High
2,3,7325,9,Low
17,5,6227,5,Low
19,2,4244,2,Low
9,2,21564,54,High
9,8,27954,49,High
15,13,7741,18,High
12,13,14048,2,High
3,0,6047,74,High
14,12,27357,43,High
5,2,8232,18,Low
4,6,3124,51,High
4,6,7788,59,High
18,6,25959,5,High
10,0,13628,76,High
9,3,20670,12,High
20,1,8443,72,High
20,5,14507,49,Medium
16,4,22310,31,High
6,3,27912,60,High
4,7,29535,33,High
20,5,23189,11,High
20,2,17849,71,High
1,4,1345,3,Low
9,9,12539,47,Medium
18,7,7864,67,High
18,4,4040,40,Medium
20,11,22693,24,High
20,0,17768,62,High
17,9,11709,43,Medium
15,5,7200,7,Low
20,7,11046,15,Medium
15,15,25692,30,High
16,7,7358,18,Medium
11,9,2188,76,High
17,2,15073,21,Low
13,4,5264,27,Medium
5,7,14379,2,Medium
2,7,22250,41,High
9,4,29023,79,High
3,1,5838,45,Medium
1,3,21172,34,High
18,2,19657,74,High
9,5,4168,63,High
3,3,12494,14,Low
6,8,29825,46,High
11,11,2480,66,High
9,1,23317,54,High
20,5,7079,53,High
12,10,4506,37,Medium
5,1,26805,71,High
11,5,4375,30,Medium
10,9,6404,44,Medium
17,10,828,68,High
8,4,6418,69,High
4,1,8961,59,High
14,2,20997,27,High
4,13,4551,75,High
7,8,15914,63,High
4,10,28018,76,High
18,3,15621,51,High
17,7,25083,65,High
14,6,11057,56,High
12,14,25949,15,High
10,4,707,42,Medium
11,7,22579,35,High
3,7,27944,18,High
19,6,6274,46,Medium
10,12,5360,27,High
13,15,2777,37,High
18,15,10727,29,High
15,15,3677,51,High
11,4,2764,24,Low
7,6,2429,64,High
10,3,7839,33,Medium
18,6,9241,5,Medium
5,12,18639,80,High
7,0,17204,35,Medium
5,15,930,19,High
7,3,6101,34,Medium
3,6,9299,15,Medium
1,15,3657,17,High
16,1,15493,16,Low
1,0,27483,11,High
1,9,24364,79,High
4,13,6963,4,High
4,12,3046,4,High
10,11,14740,62,High
17,7,18979,10,Medium
8,7,2970,68,High
16,9,14872,50,Medium
8,6,24509,21,High
6,12,23059,52,High
9,2,11541,38,Medium
5,10,18974,52,High
7,0,26598,42,High
19,1,19703,45,Medium
1,0,20448,10,High
20,13,25675,30,High
2,1,24653,46,High
16,9,16438,25,Medium
13,4,4321,18,Low
20,0,845,38,Medium
17,10,5211,8,Medium
7,3,14069,22,Low
4,0,21916,65,High
14,2,10891,37,Medium
20,4,7082,62,High
5,15,7216,48,High
13,7,25324,65,High
1,2,21241,24,High
20,11,26893,72,High
2,15,16245,34,High
16,1,29545,71,High
19,2,27766,7,High
17,10,14343,68,High
4,10,5017,61,High
19,12,12466,62,High
18,11,2750,54,High
8,1,5674,68,High
14,12,25430,58,High
17,8,29825,61,High
11,13,29636,15,High
6,5,12909,38,Medium
10,4,6156,29,Medium
18,12,10783,32,High
4,12,15341,28,High
6,5,17867,42,Medium
7,0,11366,60,High
18,0,9194,43,Medium
11,14,11736,3,High
9,4,13844,73,High
17,6,14009,47,Medium
17,10,2506,16,Medium
5,6,19015,28,Medium
7,1,25945,20,High
7,1,3244,71,High
11,11,1136,22,High
14,7,13898,43,Medium
8,0,17276,9,Low
18,9,21824,23,High
19,2,11259,74,High
1,14,20115,50,High
1,7,7078,68,High
9,11,29687,2,High
18,8,4388,78,High
6,15,10748,47,High
20,1,17733,77,High
6,15,20896,26,High
9,13,1334,28,High
13,1,17141,49,Medium
4,8,8712,75,High
9,1,3138,38,Medium
9,12,12036,4,High
5,3,19036,68,High
2,7,12790,4,Medium
15,13,21764,61,High
11,2,22485,25,High
5,2,26715,69,High
11,6,24523,25,High
18,6,19564,20,Medium
13,13,3347,4,High
4,11,22501,72,High
9,1,1405,77,High
19,4,23372,8,High
9,4,15565,14,Low
8,6,10338,65,High
6,14,18284,47,High
4,4,25525,75,High
3,9,9457,58,High
12,1,3443,78,High
16,0,11725,57,High
19,2,26745,28,High
6,0,22044,67,High
17,13,22029,39,High
12,9,9275,26,Medium
20,9,15841,2,Medium
8,8,10606,67,High
3,14,27873,4,High
15,2,896,74,High
11,11,14099,58,High
20,11,11439,34,High
3,10,11630,9,Medium
14,11,10110,35,High
17,7,27101,15,High
8,4,3420,5,Low
15,11,1638,67,High
12,2,3702,34,Medium
7,9,23421,22,High
11,3,28315,12,High
15,11,6484,74,High
16,10,5459,34,Medium
8,4,28596,78,High
16,13,29604,16,High
12,15,16688,43,High
20,7,9442,60,High
2,5,28886,14,High
17,11,21834,69,High
17,10,20034,2,High
13,4,9567,26,Medium
20,7,6769,70,High
2,5,17575,8,Low
13,12,22063,55,High
11,12,21115,40,High
13,10,9310,4,Medium
7,11,14648,27,High
12,10,15550,21,Medium
2,14,23357,72,High
18,14,12610,34,High
6,8,13056,6,Medium
16,2,27162,57,High
19,11,7132,24,High
11,14,27458,67,High
5,14,18428,35,High
17,9,28213,5,High
4,11,22478,41,High
14,2,20007,46,High
20,1,20749,31,High
3,3,15911,16,Low
8,2,15742,33,Medium
9,8,3112,44,Medium
9,12,28834,60,High
1,15,22349,17,High
11,5,10959,7,Low
7,2,8294,60,High
1,9,14461,55,High
11,14,21407,59,High
20,7,29242,57,High
13,11,10500,32,High
10,7,22391,77,High
4,13,12172,78,High
5,13,769,80,High
18,13,14304,24,High
1,3,10050,31,Medium
11,5,29409,71,High
8,3,5583,16,Low
20,5,28829,30,High
2,10,13606,45,Medium
19,5,9019,5,Low
15,6,7906,43,Medium
5,4,10708,27,Medium
13,1,21022,7,High
12,7,26531,39,High
13,7,3300,48,Medium
19,9,18780,68,High
8,7,14895,21,Medium
18,2,22661,47,High
8,15,10741,12,High
8,5,18586,52,High
4,5,16836,75,High
18,3,11512,51,High
19,0,8258,3,Low
14,15,21632,35,High
17,3,26164,61,High
9,2,17621,38,Medium
19,4,28275,2,High
6,15,10501,61,High
2,8,24708,60,High
12,6,5022,35,Medium
10,0,23771,61,High
1,3,24769,74,High
20,10,6720,75,High
17,12,7509,64,High
9,11,11971,31,High
18,11,26988,9,High
7,6,25006,45,High
4,15,29912,55,High
19,5,7255,15,Low
16,8,15476,78,High
1,11,12608,43,High
5,3,17480,54,High
15,2,19572,58,High
6,1,8183,58,High
15,4,15371,32,Medium
9,10,9500,52,High
4,7,18360,64,High
19,11,9595,37,High
16,3,27284,71,High
14,3,12252,66,High
20,6,12682,36,Medium
20,1,22803,26,High
4,0,17434,5,Low
18,2,29196,6,High
15,0,4578,50,Medium
12,4,17070,59,High
7,8,4443,17,Medium
2,11,22800,79,High
9,1,18918,75,High
15,14,9435,79,High
1,0,10525,25,Low
6,4,7212,80,High
1,2,11140,1,Low
10,13,16974,54,High
5,14,3656,46,High
17,2,15462,78,High
5,5,8139,72,High
12,9,22224,78,High
19,0,13167,36,Medium
13,11,7483,37,High
19,5,28107,53,High
10,2,21123,11,High
4,14,24907,62,High
15,0,24889,5,High
11,10,10306,43,Medium
8,1,10607,4,Low
9,13,13404,50,High
8,2,25933,6,High
4,10,4650,17,Medium
20,14,4068,74,High
13,8,16217,43,Medium
3,9,10892,54,High
1,0,24066,29,High
9,0,21212,5,High
3,2,17288,4,Low
8,11,5151,29,High
5,1,13363,6,Low
10,2,26187,7,High
1,14,12670,69,High
14,14,1418,2,High
17,5,2993,43,Medium
4,13,7064,71,High
1,11,24051,14,High
